product_id,display_name,category,sub_category,color,gender,season,usage,image_filename
P064,Navy Canvas Boat Shoes,Footwear,Casual Shoes,Navy,Men,Summer,Casual,10064.jpg
P065,Grey Suede Sneakers,Footwear,Casual Shoes,Grey,Men,Fall,Casual,10065.jpg
P066,White Platform Sneakers,Footwear,Casual Shoes,White,Women,Summer,Casual,10066.jpg
P067,Black Ballet Flats,Footwear,Casual Shoes,Black,Women,Fall,Casual,10067.jpg
P068,Beige Canvas Espadrilles,Footwear,Casual Shoes,Beige,Women,Spring,Casual,10068.jpg
P069,Pink Canvas Sneakers,Footwear,Casual Shoes,Pink,Women,Summer,Casual,10069.jpg
P070,Black Leather Oxfords,Footwear,Formal Shoes,Black,Men,Winter,Formal,10070.jpg
P071,Brown Leather Derbys,Footwear,Formal Shoes,Brown,Men,Fall,Formal,10071.jpg
P072,Black Patent Dress Shoes,Footwear,Formal Shoes,Black,Men,Winter,Formal,10072.jpg
P073,Burgundy Leather Brogues,Footwear,Formal Shoes,Burgundy,Men,Fall,Formal,10073.jpg
P074,Black Pointed Toe Heels,Footwear,Formal Shoes,Black,Women,Winter,Formal,10074.jpg
P075,Nude Patent Pumps,Footwear,Formal Shoes,Nude,Women,Spring,Formal,10075.jpg
P076,Black Ankle Boots,Footwear,Formal Shoes,Black,Women,Fall,Formal,10076.jpg
P077,White Running Sneakers,Footwear,Sneakers,White,Men,Summer,Sports,10077.jpg
P078,Black Training Sneakers,Footwear,Sneakers,Black,Men,Fall,Sports,10078.jpg
P079,Blue Mesh Running Shoes,Footwear,Sneakers,Blue,Men,Spring,Sports,10079.jpg
P080,Grey Retro Sneakers,Footwear,Sneakers,Grey,Men,Summer,Casual,10080.jpg
P081,Black Structured Handbag,Accessories,Handbags,Black,Women,Fall,Formal,10081.jpg
P082,Brown Leather Tote,Accessories,Handbags,Brown,Women,Spring,Casual,10082.jpg
P083,Beige Canvas Crossbody,Accessories,Handbags,Beige,Women,Summer,Casual,10083.jpg
P084,Navy Leather Shoulder Bag,Accessories,Handbags,Navy,Women,Fall,Formal,10084.jpg
P085,Black Canvas Backpack,Accessories,Backpacks,Black,Men,Fall,Casual,10085.jpg
P086,Navy Technical Daypack,Accessories,Backpacks,Navy,Men,Spring,Casual,10086.jpg
P087,Grey Water-Resistant Backpack,Accessories,Backpacks,Grey,Men,Fall,Casual,10087.jpg
P088,Black Leather Mini Backpack,Accessories,Backpacks,Black,Women,Fall,Casual,10088.jpg
P089,Silver Stainless Watch,Accessories,Watches,Silver,Men,Summer,Formal,10089.jpg
P090,Black Digital Sports Watch,Accessories,Watches,Black,Men,Fall,Casual,10090.jpg
P091,Gold Plated Dress Watch,Accessories,Watches,Gold,Men,Winter,Formal,10091.jpg
P092,Brown Leather Strap Watch,Accessories,Watches,Brown,Men,Spring,Casual,10092.jpg
P093,Black Aviator Sunglasses,Accessories,Sunglasses,Black,Men,Summer,Casual,10093.jpg
P094,Tortoise Wayfarer Sunglasses,Accessories,Sunglasses,Brown,Men,Summer,Casual,10094.jpg
P095,Grey Sports Sunglasses,Accessories,Sunglasses,Grey,Men,Summer,Sports,10095.jpg
P096,Black Cat Eye Sunglasses,Accessories,Sunglasses,Black,Women,Summer,Casual,10096.jpg
P097,Black Leather Dress Belt,Accessories,Belts,Black,Men,Fall,Formal,10097.jpg
P098,Brown Genuine Leather Belt,Accessories,Belts,Brown,Men,Spring,Casual,10098.jpg
P099,Black Cotton Baseball Cap,Accessories,Caps,Black,Men,Summer,Casual,10099.jpg
P100,Navy Performance Sports Cap,Accessories,Caps,Navy,Men,Summer,Sports,10100.jpg
